"Reference","Value","Datasheet","Footprint","Qty","DNP"
"C1,C19","100uF","~","Capacitor_THT:CP_Radial_D5.0mm_P2.50mm","2",""
"C3,C5","22pF","~","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","2",""
"C4,C6,C8,C9,C16,C18,C20,C23","100nF","~","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","8",""
"C17","100uF","~","Capacitor_THT:CP_Radial_D5.0mm_P2.50mm","1","DNP"
"DID1","1N4148WS","https://www.vishay.com/docs/85751/1n4148ws.pdf","Gotek:SODFL2512X90N","1",""
"J3","Conn_01x03_Pin","~","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical","1","DNP"
"J4","Conn_01x02_Pin","~","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","1","DNP"
"J5,JA1,JB1,JC1,JK1,MOR1,S0,S1","Conn_01x02","~","-- mixed values --","8",""
"J7","OLED","~","Connector_PinHeader_2.54mm:PinHeader_2x02_P2.54mm_Horizontal","1",""
"J8","RotaryEncoder","~","Connector_PinHeader_2.54mm:PinHeader_2x02_P2.54mm_Horizontal","1",""
"J10","Conn_01x04_Pin","~","Connector_PinHeader_2.54mm:PinHeader_1x04_P2.54mm_Vertical","1","DNP"
"JKA1","Conn_01x02","~","Connector_PinHeader_2.54mm:PinHeader_2x01_P2.54mm_Horizontal","1","DNP"
"L3","LED GREEN","~","LED_THT:LED_D4.0mm","1","DNP"
"L4","LED GREEN","~","LED_THT:LED_D4.0mm","1",""
"L5","LED RED","~","LED_THT:LED_D4.0mm","1","DNP"
"P1","Conn_02x17_Odd_Even","~","Gotek:FDD PinHeader_2x17_P2.54mm_Horizontal","1",""
"P2","171826-4","https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=1-1773972-5_EIS_Connectors_Brochure&DocType=Data%20Sheet&DocLang=English&PartCntxt=171826-4&DocFormat=pdf","Gotek:SHDRRA4W69P0X250_1X4_1000X1350X670P","1",""
"P3","USB_A","~","Connector_USB:USB_A_Molex_67643_Horizontal","1",""
"PU1,PU2,PU3,PU4,PU5,PU6,PU7,PU8,PU9,PU10,PU11,PU12,PU13,PU14,R20,R21,RN1,RN2,RN3,RN4,RN5,RN6","1K","~","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","22",""
"Q1,Q2,Q3,Q4,Q5,Q6","PMBT2222A,215","https://assets.nexperia.com/documents/data-sheet/PMBT2222A.pdf","Gotek:SOT95P280X130-3N","6",""
"R1,R2","22R","~","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","2",""
"R10,R13","4K7","~","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","2",""
"S3,S4","SKHHANA010","https://www.mouser.co.uk/datasheet/2/15/SKHH-1370651.pdf","Gotek:SKHHLQA010","2",""
"U1","74AHC04","https://assets.nexperia.com/documents/data-sheet/74AHC_AHCT04.pdf","Package_SO:SO-14_3.9x8.65mm_P1.27mm","1",""
"U3","AT32F435RGT7","","Gotek:QFP50P1200X1200X160-64N","1",""
"U4","AMS1117-3.3","http://www.advanced-monolithic.com/pdf/ds1117.pdf","Gotek:SOT229P700X180-4N","1",""
"U8","SST25VF016B-50-4C-S2AF","https://ww1.microchip.com/downloads/en/DeviceDoc/20005044C.pdf","Gotek:SOIC127P790X216-8N","1","DNP"
"Y1","8Mhz","~","Crystal:Crystal_HC18-U_Vertical","1",""
